N,종목명,현재가,전일비,등락률,액면가,부채총계,영업이익,주당순이익
1.0,삼성전자,69900.0,1700.0,-2.37%,100.0,936749.0,433766.0,6625.0
2.0,LG에너지솔루션,562000.0,3000.0,-0.53%,500.0,177057.0,12137.0,4450.0
3.0,SK하이닉스,111800.0,2000.0,-1.76%,5000.0,405810.0,68094.0,-3200.0
4.0,삼성바이오로직스,719000.0,30000.0,-4.01%,2500.0,75976.0,9836.0,11173.0
5.0,삼성전자우,58300.0,800.0,-1.35%,100.0,,,6625.0
6.0,삼성SDI,697000.0,6000.0,-0.85%,5000.0,130400.0,18080.0,28911.0
7.0,LG화학,656000.0,8000.0,-1.20%,5000.0,304927.0,29957.0,20840.0
8.0,현대차,204000.0,2500.0,-1.21%,5000.0,1648459.0,98198.0,32878.0
9.0,기아,87900.0,1100.0,-1.24%,5000.0,343679.0,72331.0,16026.0
10.0,POSCO홀딩스,400000.0,6000.0,+1.52%,5000.0,401494.0,48501.0,25222.0
11.0,NAVER,195000.0,500.0,-0.26%,100.0,104487.0,13047.0,3926.0
12.0,포스코퓨처엠,398500.0,25000.0,+6.69%,500.0,19868.0,1659.0,1564.0
13.0,카카오,49850.0,1050.0,-2.06%,100.0,94316.0,5803.0,286.0
14.0,현대모비스,232500.0,500.0,-0.21%,5000.0,175991.0,20265.0,29735.0
15.0,셀트리온,148600.0,4000.0,-2.62%,1000.0,16174.0,6472.0,3996.0
16.0,LG전자,123000.0,2300.0,-1.84%,5000.0,326641.0,35510.0,2439.0
17.0,KB금융,46500.0,200.0,-0.43%,5000.0,6515279.0,56389.0,10826.0
18.0,삼성물산,100100.0,2200.0,-2.15%,100.0,270174.0,25285.0,11458.0
19.0,신한지주,32500.0,550.0,-1.66%,5000.0,6247539.0,58881.0,8750.0
20.0,SK이노베이션,166000.0,100.0,+0.06%,5000.0,439766.0,39173.0,6874.0
21.0,삼성생명,66400.0,300.0,-0.45%,500.0,2919974.0,13866.0,10102.0
22.0,LG,82800.0,0.0,0.00%,5000.0,33995.0,19414.0,6864.0
23.0,한국전력,19490.0,560.0,-2.79%,5000.0,1928047.0,-326552.0,-36545.0
24.0,HD현대중공업,136000.0,300.0,-0.22%,5000.0,110016.0,-2892.0,-2216.0
25.0,하이브,286000.0,6500.0,+2.33%,500.0,19418.0,2369.0,1066.0
26.0,KT&G,81300.0,400.0,-0.49%,5000.0,29431.0,12676.0,7446.0
27.0,하나금융지주,37700.0,300.0,-0.79%,5000.0,5314543.0,46903.0,12666.0
28.0,두산에너빌리티,17400.0,0.0,0.00%,5000.0,129695.0,11061.0,-1044.0
29.0,카카오뱅크,22850.0,200.0,-0.87%,5000.0,338010.0,3532.0,626.0
30.0,삼성화재,222000.0,1000.0,-0.45%,500.0,771827.0,16061.0,28570.0
31.0,삼성전기,140400.0,2400.0,-1.68%,5000.0,33037.0,11828.0,10007.0
32.0,SK,140200.0,3300.0,-2.30%,200.0,1226971.0,80047.0,-20.0
33.0,SK텔레콤,43550.0,650.0,-1.47%,100.0,191531.0,16121.0,4532.0
34.0,대한항공,25050.0,450.0,-1.76%,5000.0,197052.0,28306.0,3914.0
35.0,HMM,18500.0,180.0,-0.96%,5000.0,52855.0,99516.0,14802.0
36.0,삼성에스디에스,115200.0,2700.0,-2.29%,500.0,34855.0,9161.0,14276.0
37.0,한화오션,41100.0,2300.0,+5.93%,5000.0,114907.0,-16136.0,-12801.0
38.0,고려아연,444500.0,18500.0,-4.00%,5000.0,28662.0,9192.0,39139.0
39.0,메리츠금융지주,41150.0,1100.0,-2.60%,500.0,868013.0,22009.0,9279.0
40.0,HD한국조선해양,120400.0,100.0,+0.08%,5000.0,175713.0,-3556.0,-1767.0
41.0,크래프톤,174500.0,4000.0,-2.24%,100.0,9175.0,7516.0,10637.0
42.0,우리금융지주,11360.0,40.0,-0.35%,5000.0,4488471.0,44305.0,4417.0
43.0,기업은행,10100.0,40.0,-0.39%,5000.0,4028691.0,37748.0,3556.0
44.0,포스코인터내셔널,45050.0,1150.0,+2.62%,5000.0,81182.0,9025.0,4479.0
45.0,KT,29300.0,200.0,-0.68%,5000.0,225660.0,16901.0,4402.0
46.0,현대글로비스,195600.0,2800.0,-1.41%,500.0,69982.0,17985.0,31438.0
47.0,S-Oil,63400.0,500.0,-0.78%,2500.0,111297.0,34052.0,12854.0
48.0,LG이노텍,299000.0,9000.0,-2.92%,5000.0,55278.0,12718.0,33617.0
49.0,한화솔루션,41000.0,150.0,-0.36%,5000.0,139348.0,9662.0,1958.0
50.0,LG생활건강,432000.0,5000.0,-1.14%,5000.0,18341.0,7111.0,12327.0
51.0,한화에어로스페이스,131500.0,100.0,-0.08%,5000.0,112335.0,3772.0,11284.0
52.0,SK아이이테크놀로지,92600.0,500.0,-0.54%,1000.0,13227.0,-523.0,-440.0
53.0,롯데케미칼,151200.0,1700.0,-1.11%,5000.0,95203.0,-7626.0,2585.0
54.0,SK스퀘어,44250.0,950.0,-2.10%,100.0,49974.0,1628.0,-4948.0
55.0,삼성중공업,7100.0,50.0,+0.71%,1000.0,109198.0,-8544.0,-574.0
56.0,카카오페이,45800.0,600.0,-1.29%,500.0,14233.0,-455.0,376.0
57.0,엔씨소프트,279500.0,8000.0,-2.78%,500.0,12391.0,5590.0,17332.0
58.0,코스모신소재,200000.0,1700.0,+0.86%,1000.0,2001.0,325.0,709.0
59.0,KODEX 200,33290.0,480.0,-1.42%,0.0,,,
60.0,두산밥캣,59600.0,700.0,+1.19%,500.0,42240.0,10716.0,7492.0
61.0,SK바이오팜,75400.0,2300.0,-2.96%,500.0,3477.0,-1311.0,-1361.0
62.0,SK바이오사이언스,73500.0,3000.0,-3.92%,500.0,4002.0,1150.0,1052.0
63.0,삼성엔지니어링,28700.0,400.0,-1.37%,5000.0,52717.0,7029.0,3714.0
64.0,아모레퍼시픽,94700.0,300.0,-0.32%,500.0,10225.0,2142.0,1511.0
65.0,LG디스플레이,14910.0,410.0,-2.68%,5000.0,243668.0,-20850.0,-12032.0
66.0,한국항공우주,54000.0,200.0,+0.37%,5000.0,63192.0,1416.0,1145.0
67.0,DB손해보험,72200.0,200.0,+0.28%,500.0,590349.0,13331.0,16758.0
68.0,맥쿼리인프라,12480.0,90.0,-0.72%,0.0,,,
69.0,TIGER CD금리투자KIS(합성),52640.0,10.0,+0.02%,0.0,,,
70.0,오리온,122400.0,2400.0,+2.00%,500.0,7325.0,4667.0,9905.0
71.0,금양,83000.0,9400.0,+12.77%,500.0,1608.0,132.0,-618.0
72.0,한온시스템,9020.0,220.0,-2.38%,100.0,67289.0,2566.0,84.0
73.0,HD현대,57800.0,700.0,-1.20%,1000.0,423072.0,33870.0,14349.0
74.0,한국타이어앤테크놀로지,36650.0,100.0,-0.27%,500.0,37057.0,7058.0,5510.0
75.0,LG유플러스,10190.0,180.0,-1.74%,5000.0,113251.0,10813.0,1477.0
76.0,현대제철,32950.0,450.0,-1.35%,5000.0,176724.0,16165.0,5770.0
77.0,유한양행,56700.0,1300.0,-2.24%,1000.0,4649.0,360.0,1304.0
78.0,F&F,112400.0,3200.0,-2.77%,100.0,6270.0,5249.0,12112.0
79.0,미래에셋증권,6950.0,90.0,-1.28%,5000.0,958529.0,8356.0,891.0
80.0,현대로템,37650.0,250.0,-0.66%,5000.0,33324.0,1475.0,1854.0
81.0,현대오토에버,146400.0,4900.0,-3.24%,500.0,11291.0,1424.0,4659.0
82.0,CJ제일제당,264000.0,3500.0,-1.31%,5000.0,184842.0,16647.0,24638.0
83.0,현대차2우B,109800.0,2500.0,-2.23%,5000.0,,,32878.0
84.0,SKC,104300.0,1100.0,+1.07%,5000.0,41512.0,2203.0,-5633.0
85.0,넷마블,44900.0,1550.0,-3.34%,100.0,33138.0,-1087.0,-9469.0
86.0,현대건설,34650.0,800.0,-2.26%,5000.0,109874.0,5749.0,3522.0
87.0,금호석유,121700.0,2100.0,-1.70%,5000.0,20659.0,11477.0,23912.0
88.0,KODEX KOFR금리액티브(합성),103535.0,25.0,+0.02%,0.0,,,
89.0,강원랜드,16520.0,370.0,-2.19%,500.0,7524.0,2176.0,1042.0
90.0,한미약품,279500.0,16000.0,-5.41%,2500.0,9154.0,1581.0,8472.0
91.0,씨에스윈드,82800.0,800.0,-0.96%,500.0,8549.0,421.0,284.0
92.0,현대미포조선,87000.0,500.0,+0.58%,5000.0,25730.0,-1091.0,-197.0
93.0,삼성카드,28500.0,300.0,-1.04%,5000.0,217337.0,8489.0,5239.0
94.0,GS,35100.0,100.0,+0.29%,5000.0,174344.0,50051.0,20087.0
95.0,코웨이,42700.0,600.0,-1.39%,500.0,20531.0,6774.0,6077.0
96.0,삼성증권,34800.0,400.0,-1.14%,5000.0,476524.0,5781.0,5859.0
97.0,NH투자증권,9320.0,210.0,-2.20%,5000.0,462002.0,5214.0,1099.0
98.0,한진칼,45300.0,1100.0,-2.37%,2500.0,13390.0,145.0,9428.0
99.0,KODEX 종합채권(AA-이상)액티브,104280.0,240.0,-0.23%,0.0,,,
100.0,호텔신라,73500.0,100.0,+0.14%,5000.0,23988.0,783.0,268.0
101.0,BGF리테일,166800.0,200.0,+0.12%,1000.0,19836.0,2524.0,11297.0
102.0,한미반도체,29350.0,100.0,+0.34%,100.0,653.0,1119.0,2092.0
103.0,LS,88200.0,1000.0,-1.12%,5000.0,112593.0,6709.0,12791.0
104.0,한화시스템,14980.0,340.0,+2.32%,5000.0,19267.0,240.0,520.0
105.0,LG화학우,367000.0,5500.0,-1.48%,5000.0,,,20840.0
106.0,TIGER 차이나전기차SOLACTIVE,10100.0,75.0,-0.74%,0.0,,,
107.0,영원무역,62300.0,700.0,-1.11%,500.0,13993.0,8230.0,16032.0
108.0,한전기술,71500.0,3700.0,+5.46%,200.0,2731.0,139.0,745.0
109.0,한국금융지주,48250.0,700.0,-1.43%,5000.0,786028.0,5458.0,10249.0
110.0,현대해상,29800.0,150.0,-0.50%,500.0,480014.0,8080.0,7293.0
111.0,DB하이텍,58900.0,1200.0,-2.00%,5000.0,4844.0,7687.0,10705.0
112.0,현대차우,108100.0,2200.0,-1.99%,5000.0,,,32878.0
113.0,롯데지주,24800.0,50.0,-0.20%,200.0,124092.0,4898.0,1142.0
114.0,팬오션,4855.0,105.0,-2.12%,1000.0,30563.0,7896.0,1174.0
115.0,롯데에너지머티리얼즈,54700.0,300.0,+0.55%,500.0,4402.0,848.0,-230.0
116.0,농심,410000.0,4500.0,+1.11%,5000.0,7194.0,1122.0,22603.0
117.0,HL만도,53000.0,200.0,-0.38%,1000.0,35721.0,2481.0,2295.0
118.0,HD현대일렉트릭,67700.0,1500.0,+2.27%,5000.0,16039.0,1330.0,5121.0
119.0,쌍용C&E,4815.0,60.0,-1.23%,100.0,22812.0,2209.0,233.0
120.0,LS ELECTRIC,80100.0,200.0,+0.25%,5000.0,17735.0,1875.0,3584.0
121.0,TIGER 미국나스닥100,87960.0,200.0,-0.23%,0.0,,,
122.0,TIGER 200,33320.0,485.0,-1.43%,0.0,,,
123.0,한솔케미칼,206500.0,10500.0,-4.84%,5000.0,4008.0,1860.0,12552.0
124.0,HD현대인프라코어,11630.0,60.0,+0.52%,1000.0,31016.0,3325.0,1355.0
125.0,GS리테일,21900.0,200.0,-0.90%,1000.0,54124.0,2451.0,455.0
126.0,휠라홀딩스,37500.0,50.0,+0.13%,1000.0,22472.0,4351.0,5424.0
127.0,한국가스공사,24550.0,100.0,+0.41%,5000.0,520142.0,24634.0,9673.0
128.0,키움증권,84600.0,2300.0,-2.65%,5000.0,434442.0,6564.0,22651.0
129.0,BNK금융지주,6670.0,60.0,-0.89%,5000.0,1261341.0,11589.0,2426.0
130.0,한화,28650.0,100.0,-0.35%,5000.0,1902965.0,25161.0,16923.0
131.0,한미사이언스,30650.0,700.0,-2.23%,500.0,3849.0,676.0,1129.0
132.0,이마트,75200.0,200.0,+0.27%,5000.0,197184.0,1357.0,8228.0
133.0,한화생명,2400.0,40.0,-1.64%,5000.0,1532204.0,7147.0,1285.0
134.0,아모레G,25150.0,350.0,-1.37%,500.0,11175.0,2719.0,664.0
135.0,제일기획,17940.0,170.0,-0.94%,200.0,15300.0,3114.0,1639.0
136.0,KODEX 200선물인버스2X,2650.0,70.0,+2.71%,0.0,,,
137.0,에스원,52000.0,1000.0,-1.89%,500.0,5527.0,2041.0,4133.0
138.0,코스모화학,56400.0,500.0,+0.89%,1000.0,4092.0,414.0,23.0
139.0,효성첨단소재,438000.0,4000.0,-0.90%,5000.0,21352.0,3151.0,22839.0
140.0,KODEX 23-12 은행채(AA+이상)액티브,10340.0,0.0,0.00%,0.0,,,
141.0,LX세미콘,117500.0,4700.0,-3.85%,500.0,3393.0,3106.0,10583.0
142.0,TIGER 미국S&P500,14420.0,40.0,-0.28%,0.0,,,
143.0,에스엘,40600.0,600.0,+1.50%,500.0,12256.0,1979.0,4385.0
144.0,KODEX 200TR,11345.0,170.0,-1.48%,0.0,,,
145.0,LIG넥스원,85400.0,600.0,-0.70%,5000.0,20775.0,1791.0,6405.0
146.0,동서,18700.0,70.0,-0.37%,500.0,823.0,392.0,1723.0
147.0,롯데쇼핑,65800.0,1000.0,-1.50%,5000.0,206685.0,3862.0,-11195.0
148.0,이수페타시스,29400.0,50.0,-0.17%,1000.0,3237.0,1166.0,1645.0
149.0,현대위아,67900.0,100.0,+0.15%,5000.0,38128.0,2121.0,2129.0
150.0,KODEX 레버리지,16150.0,495.0,-2.97%,0.0,,,
151.0,동원산업,36050.0,450.0,-1.23%,1000.0,41527.0,4944.0,6257.0
152.0,신세계,181000.0,100.0,+0.06%,5000.0,80966.0,6454.0,39757.0
153.0,두산퓨얼셀,27000.0,100.0,-0.37%,100.0,5039.0,72.0,106.0
154.0,CJ,60600.0,1500.0,-2.42%,5000.0,305068.0,21542.0,3656.0
